09-17-2026 09:53:06 RAM 1393/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [26%@729,24%@729,28%@729,27%@729,off,off] GR3D_FREQ 0% cv0@49.5C cpu@51.531C soc2@50.656C soc0@51.25C cv1@49.5C gpu@50C tj@52.718C soc1@52.718C cv2@50.093C VDD_IN 5508mW/5324mW VDD_CPU_GPU_CV 759mW/746mW VDD_SOC 1804mW/1690mW
09-17-2026 09:53:07 RAM 1395/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [33%@729,32%@729,29%@729,30%@729,off,off] GR3D_FREQ 0% cv0@49.343C cpu@51.656C soc2@50.718C soc0@51.343C cv1@49.468C gpu@50.156C tj@52.75C soc1@52.75C cv2@50.156C VDD_IN 5508mW/5335mW VDD_CPU_GPU_CV 759mW/747mW VDD_SOC 1804mW/1697mW
09-17-2026 09:53:08 RAM 1395/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [37%@1344,23%@1344,26%@1344,24%@1344,off,off] GR3D_FREQ 0% cv0@49.343C cpu@51.531C soc2@50.656C soc0@51.218C cv1@49.593C gpu@50.093C tj@52.687C soc1@52.687C cv2@50.125C VDD_IN 5508mW/5346mW VDD_CPU_GPU_CV 759mW/748mW VDD_SOC 1804mW/1704mW
09-17-2026 09:53:09 RAM 1396/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [22%@729,37%@729,25%@729,29%@729,off,off] GR3D_FREQ 0% cv0@49.531C cpu@51.843C soc2@50.75C soc0@51.375C cv1@49.625C gpu@50C tj@52.656C soc1@52.656C cv2@50.125C VDD_IN 5508mW/5355mW VDD_CPU_GPU_CV 759mW/748mW VDD_SOC 1804mW/1709mW
09-17-2026 09:53:10 RAM 1396/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [38%@729,27%@729,30%@729,26%@729,off,off] GR3D_FREQ 0% cv0@49.312C cpu@51.937C soc2@50.812C soc0@51.406C cv1@49.531C gpu@50.156C tj@52.812C soc1@52.812C cv2@50.187C VDD_IN 5508mW/5363mW VDD_CPU_GPU_CV 759mW/749mW VDD_SOC 1804mW/1714mW
09-17-2026 09:53:11 RAM 1396/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [32%@729,22%@729,27%@729,29%@729,off,off] GR3D_FREQ 0% cv0@49.437C cpu@51.75C soc2@50.718C soc0@51.468C cv1@49.593C gpu@50.156C tj@52.781C soc1@52.781C cv2@50.125C VDD_IN 5504mW/5370mW VDD_CPU_GPU_CV 759mW/749mW VDD_SOC 1804mW/1719mW
09-17-2026 09:53:12 RAM 1397/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [41%@729,22%@729,27%@729,23%@729,off,off] GR3D_FREQ 0% cv0@49.437C cpu@51.687C soc2@50.812C soc0@51.375C cv1@49.687C gpu@50.281C tj@52.75C soc1@52.75C cv2@50.156C VDD_IN 5599mW/5381mW VDD_CPU_GPU_CV 759mW/750mW VDD_SOC 1804mW/1723mW
09-17-2026 09:53:13 RAM 1397/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [33%@729,31%@729,24%@729,27%@729,off,off] GR3D_FREQ 0% cv0@49.593C cpu@51.906C soc2@50.781C soc0@51.406C cv1@49.562C gpu@49.968C tj@52.781C soc1@52.781C cv2@50.218C VDD_IN 5603mW/5391mW VDD_CPU_GPU_CV 854mW/755mW VDD_SOC 1804mW/1726mW
09-17-2026 09:53:14 RAM 1397/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [44%@729,26%@729,23%@729,21%@729,off,off] GR3D_FREQ 0% cv0@49.406C cpu@51.968C soc2@50.906C soc0@51.468C cv1@49.656C gpu@50.093C tj@52.75C soc1@52.75C cv2@50.312C VDD_IN 5603mW/5400mW VDD_CPU_GPU_CV 854mW/759mW VDD_SOC 1804mW/1730mW
09-17-2026 09:53:15 RAM 1397/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [25%@806,27%@806,23%@806,40%@806,off,off] GR3D_FREQ 0% cv0@49.437C cpu@51.906C soc2@50.812C soc0@51.593C cv1@49.625C gpu@50.218C tj@52.781C soc1@52.781C cv2@50.187C VDD_IN 5603mW/5408mW VDD_CPU_GPU_CV 854mW/763mW VDD_SOC 1804mW/1733mW
