09-22-2026 19:31:26 RAM 4003/15656MB (lfb 5x4MB) SWAP 0/7828MB (cached 0MB) CPU [41%@1984,26%@1984,27%@1984,27%@1984,29%@729,58%@729,40%@729,24%@729] GR3D_FREQ 78% cv0@39.437C cpu@41.25C soc2@40.531C soc0@40.843C cv1@40.062C gpu@39.187C tj@42.156C soc1@42.156C cv2@38.906C VDD_IN 9190mW/9069mW VDD_CPU_GPU_CV 3356mW/3640mW VDD_SOC 2017mW/1853mW
09-22-2026 19:31:27 RAM 4004/15656MB (lfb 6x4MB) SWAP 0/7828MB (cached 0MB) CPU [31%@729,32%@729,32%@729,22%@729,20%@729,20%@729,14%@729,52%@729] GR3D_FREQ 87% cv0@39.5C cpu@41.031C soc2@40.5C soc0@40.875C cv1@40.093C gpu@39.093C tj@42.281C soc1@42.281C cv2@38.968C VDD_IN 8675mW/9043mW VDD_CPU_GPU_CV 3045mW/3600mW VDD_SOC 1980mW/1862mW
09-22-2026 19:31:28 RAM 4010/15656MB (lfb 5x4MB) SWAP 0/7828MB (cached 0MB) CPU [40%@883,40%@883,25%@883,26%@883,26%@729,35%@729,20%@729,26%@729] GR3D_FREQ 44% cv0@39.531C cpu@41.125C soc2@40.625C soc0@40.968C cv1@40.156C gpu@39.531C tj@42.375C soc1@42.25C cv2@39.125C VDD_IN 8953mW/9037mW VDD_CPU_GPU_CV 3198mW/3575mW VDD_SOC 2017mW/1871mW
09-22-2026 19:31:29 RAM 4047/15656MB (lfb 5x4MB) SWAP 0/7828MB (cached 0MB) CPU [42%@1984,29%@1984,35%@1984,24%@1984,31%@1984,25%@1984,29%@1984,28%@1984] GR3D_FREQ 55% cv0@39.593C cpu@41.281C soc2@40.687C soc0@40.812C cv1@40.312C gpu@39.406C tj@42.187C soc1@42.281C cv2@39.031C VDD_IN 9468mW/9062mW VDD_CPU_GPU_CV 3593mW/3576mW VDD_SOC 2056mW/1882mW
09-22-2026 19:31:30 RAM 4061/15656MB (lfb 6x4MB) SWAP 0/7828MB (cached 0MB) CPU [56%@1984,51%@1984,49%@1984,52%@1984,50%@1984,50%@1984,53%@1984,52%@1984] GR3D_FREQ 60% cv0@40.343C cpu@41.843C soc2@41.093C soc0@41.156C cv1@40.937C gpu@39.937C tj@42.406C soc1@42.406C cv2@39.375C VDD_IN 11905mW/9220mW VDD_CPU_GPU_CV 5549mW/3686mW VDD_SOC 2250mW/1902mW
09-22-2026 19:31:31 RAM 4067/15656MB (lfb 4x4MB) SWAP 0/7828MB (cached 0MB) CPU [54%@1881,45%@1881,42%@1881,38%@1881,41%@1651,39%@1651,36%@1651,50%@1651] GR3D_FREQ 60% cv0@39.968C cpu@41.906C soc2@41.156C soc0@41.218C cv1@40.875C gpu@39.75C tj@42.531C soc1@42.531C cv2@39.375C VDD_IN 11232mW/9326mW VDD_CPU_GPU_CV 4652mW/3736mW VDD_SOC 2448mW/1931mW
09-22-2026 19:31:32 RAM 4072/15656MB (lfb 5x4MB) SWAP 0/7828MB (cached 0MB) CPU [46%@1984,30%@1984,34%@1984,44%@1984,39%@1036,40%@1036,46%@1036,40%@1036] GR3D_FREQ 75% cv0@40C cpu@41.656C soc2@41.125C soc0@41.218C cv1@40.625C gpu@39.781C tj@42.687C soc1@42.687C cv2@39.5C VDD_IN 10402mW/9380mW VDD_CPU_GPU_CV 4257mW/3762mW VDD_SOC 2214mW/1945mW
09-22-2026 19:31:33 RAM 4076/15656MB (lfb 4x4MB) SWAP 0/7828MB (cached 0MB) CPU [44%@1036,40%@1036,35%@1036,43%@1036,39%@729,46%@729,31%@729,41%@729] GR3D_FREQ 68% cv0@40.031C cpu@41.812C soc2@41.093C soc0@41.281C cv1@40.843C gpu@39.875C tj@42.656C soc1@42.656C cv2@39.531C VDD_IN 10204mW/9419mW VDD_CPU_GPU_CV 4100mW/3779mW VDD_SOC 2175mW/1956mW
09-22-2026 19:31:34 RAM 4066/15656MB (lfb 4x4MB) SWAP 0/7828MB (cached 0MB) CPU [49%@1984,43%@1984,33%@1984,46%@1984,37%@1267,39%@1267,38%@1267,44%@1267] GR3D_FREQ 88% cv0@40.593C cpu@41.906C soc2@41.343C soc0@41.375C cv1@40.843C gpu@40C tj@42.718C soc1@42.718C cv2@39.531C VDD_IN 11153mW/9498mW VDD_CPU_GPU_CV 5006mW/3834mW VDD_SOC 2171mW/1966mW
09-22-2026 19:31:35 RAM 4070/15656MB (lfb 4x4MB) SWAP 0/7828MB (cached 0MB) CPU [43%@1958,48%@1958,39%@1958,34%@1958,45%@1651,52%@1651,41%@1651,38%@1651] GR3D_FREQ 54% cv0@40.312C cpu@41.937C soc2@41.406C soc0@41.468C cv1@40.906C gpu@40.093C tj@42.906C soc1@42.906C cv2@39.687C VDD_IN 11074mW/9566mW VDD_CPU_GPU_CV 4888mW/3880mW VDD_SOC 2211mW/1977mW
