09-23-2026 11:07:06 RAM 2238/15656MB (lfb 3x4MB) SWAP 0/7828MB (cached 0MB) CPU [45%@1984,7%@1984,8%@1984,63%@1984,9%@1113,9%@1113,8%@1113,10%@1113] GR3D_FREQ 0% cv0@36.218C cpu@37.718C soc2@36.968C soc0@37.562C cv1@36.812C gpu@35.687C tj@39.062C soc1@39.062C cv2@35.812C VDD_IN 6190mW/6190mW VDD_CPU_GPU_CV 2060mW/2060mW VDD_SOC 1428mW/1428mW
09-23-2026 11:07:07 RAM 2320/15656MB (lfb 4x4MB) SWAP 0/7828MB (cached 0MB) CPU [2%@1984,1%@1984,0%@1984,100%@1984,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@36.375C cpu@37.781C soc2@36.937C soc0@37.593C cv1@36.875C gpu@35.593C tj@39.031C soc1@39.031C cv2@35.906C VDD_IN 6150mW/6170mW VDD_CPU_GPU_CV 2060mW/2060mW VDD_SOC 1428mW/1428mW
09-23-2026 11:07:08 RAM 2349/15656MB (lfb 4x4MB) SWAP 0/7828MB (cached 0MB) CPU [5%@1984,2%@1984,0%@1984,94%@1984,1%@729,1%@729,4%@729,2%@729] GR3D_FREQ 0% cv0@36.281C cpu@37.968C soc2@36.968C soc0@37.75C cv1@36.843C gpu@35.562C tj@39.062C soc1@39.062C cv2@35.812C VDD_IN 6190mW/6176mW VDD_CPU_GPU_CV 2139mW/2086mW VDD_SOC 1428mW/1428mW
09-23-2026 11:07:09 RAM 2355/15656MB (lfb 4x4MB) SWAP 0/7828MB (cached 0MB) CPU [5%@1984,2%@1984,0%@1984,84%@1984,1%@729,1%@729,3%@729,1%@729] GR3D_FREQ 0% cv0@36.25C cpu@37.781C soc2@37.062C soc0@37.687C cv1@36.937C gpu@35.593C tj@39.218C soc1@39.218C cv2@35.875C VDD_IN 6031mW/6140mW VDD_CPU_GPU_CV 1941mW/2050mW VDD_SOC 1428mW/1428mW
09-23-2026 11:07:10 RAM 2437/15656MB (lfb 3x4MB) SWAP 0/7828MB (cached 0MB) CPU [12%@729,10%@729,4%@729,41%@729,3%@1420,8%@1420,16%@1420,6%@1420] GR3D_FREQ 0% cv0@36.343C cpu@37.75C soc2@37.062C soc0@37.718C cv1@37.062C gpu@35.781C tj@39.062C soc1@39.062C cv2@35.968C VDD_IN 5674mW/6047mW VDD_CPU_GPU_CV 1465mW/1933mW VDD_SOC 1547mW/1451mW
09-23-2026 11:07:11 RAM 2505/15656MB (lfb 4x4MB) SWAP 0/7828MB (cached 0MB) CPU [13%@729,8%@729,15%@729,7%@729,1%@1984,51%@1984,24%@1984,30%@1984] GR3D_FREQ 0% cv0@36.312C cpu@38.375C soc2@37.031C soc0@37.812C cv1@37.218C gpu@35.875C tj@39.125C soc1@39.125C cv2@36.125C VDD_IN 6428mW/6110mW VDD_CPU_GPU_CV 2099mW/1960mW VDD_SOC 1547mW/1467mW
09-23-2026 11:07:12 RAM 2858/15656MB (lfb 4x4MB) SWAP 0/7828MB (cached 0MB) CPU [8%@729,9%@729,20%@729,16%@729,6%@1984,63%@1984,2%@1984,35%@1984] GR3D_FREQ 0% cv0@36.656C cpu@38.5C soc2@37.156C soc0@37.843C cv1@37.75C gpu@35.656C tj@39.218C soc1@39.218C cv2@36C VDD_IN 6983mW/6235mW VDD_CPU_GPU_CV 2491mW/2036mW VDD_SOC 1584mW/1484mW
09-23-2026 11:07:13 RAM 2908/15656MB (lfb 4x4MB) SWAP 0/7828MB (cached 0MB) CPU [8%@729,7%@729,3%@729,34%@1984,1%@729,58%@729,4%@729,4%@729] GR3D_FREQ 90% cv0@36.468C cpu@37.937C soc2@37.125C soc0@37.875C cv1@37.093C gpu@35.843C tj@39.312C soc1@39.312C cv2@36C VDD_IN 6944mW/6323mW VDD_CPU_GPU_CV 2060mW/2039mW VDD_SOC 1743mW/1516mW
09-23-2026 11:07:14 RAM 3132/15656MB (lfb 6x4MB) SWAP 0/7828MB (cached 0MB) CPU [51%@729,38%@729,46%@729,44%@729,55%@729,39%@729,35%@729,35%@729] GR3D_FREQ 80% cv0@36.875C cpu@38.468C soc2@37.562C soc0@38C cv1@37.468C gpu@36.656C tj@39.437C soc1@39.437C cv2@36.25C VDD_IN 9547mW/6681mW VDD_CPU_GPU_CV 4185mW/2277mW VDD_SOC 1898mW/1559mW
09-23-2026 11:07:15 RAM 3135/15656MB (lfb 6x4MB) SWAP 0/7828MB (cached 0MB) CPU [35%@729,24%@729,23%@729,20%@729,18%@729,15%@729,17%@729,17%@729] GR3D_FREQ 32% cv0@36.625C cpu@38.375C soc2@37.406C soc0@37.906C cv1@37.187C gpu@36.125C tj@39.375C soc1@39.375C cv2@36.125C VDD_IN 7408mW/6754mW VDD_CPU_GPU_CV 2254mW/2275mW VDD_SOC 1861mW/1589mW
09-23-2026 11:07:16 RAM 3142/15656MB (lfb 4x4MB) SWAP 0/7828MB (cached 0MB) CPU [35%@729,23%@729,26%@729,26%@729,9%@729,14%@729,18%@729,13%@729] GR3D_FREQ 99% cv0@36.625C cpu@38.218C soc2@37.5C soc0@38C cv1@37.218C gpu@36.187C tj@39.406C soc1@39.406C cv2@36.187C VDD_IN 7261mW/6800mW VDD_CPU_GPU_CV 2096mW/2259mW VDD_SOC 1861mW/1613mW
